min	Total entropy (bits)	Entropy per TAD (bits)
10	9072.3546	7.760782
20	9109.3698	7.792446
30	9125.1919	7.805981
40	9094.7952	7.779979
50	9150.8516	7.827931
60	9088.4210	7.774526
70	9051.8155	7.743213
80	9119.1590	7.800820
90	9111.8105	7.794534
100	9052.9421	7.744176
110	9112.6178	7.795225
120	9132.2148	7.811989
130	9087.0136	7.773322
140	9059.2901	7.749607
150	9156.0340	7.832364
160	9119.9448	7.801493
170	9121.7281	7.803018
180	9124.0032	7.804964
