min	Total entropy (bits)	Entropy per TAD (bits)
10	9084.4452	7.771125
20	9062.0980	7.752009
30	9146.3733	7.824100
40	9143.9850	7.822057
50	9067.5422	7.756666
60	9088.7596	7.774816
70	9129.6872	7.809827
80	9076.6409	7.764449
90	9121.8193	7.803096
100	9121.5474	7.802863
110	9074.9941	7.763040
120	9147.1354	7.824752
130	9089.7314	7.775647
140	9113.3103	7.795817
150	9109.8950	7.792896
160	9077.1823	7.764912
170	9120.0304	7.801566
180	9123.5952	7.804615
