min	Total entropy (bits)	Entropy per TAD (bits)
10	9924.8077	8.489998
20	9905.5001	8.473482
30	9960.7415	8.520737
40	9944.3725	8.506734
50	10003.5202	8.557331
60	9962.5103	8.522250
70	9944.4652	8.506814
80	9947.3499	8.509281
90	9901.7054	8.470236
100	9964.3221	8.523800
110	9904.1504	8.472327
120	9948.0381	8.509870
130	9940.0597	8.503045
140	9905.5784	8.473549
150	9936.5336	8.500029
160	9958.6023	8.518907
170	9948.8370	8.510553
180	9941.3637	8.504161
