min	Total entropy (bits)	Entropy per TAD (bits)
10	9138.9970	7.817790
20	9082.4718	7.769437
30	9113.2729	7.795785
40	9151.0673	7.828116
50	9100.8204	7.785133
60	9097.8799	7.782617
70	9043.4454	7.736053
80	9114.7609	7.797058
90	9096.3981	7.781350
100	9131.2399	7.811155
110	9144.6757	7.822648
120	9131.4584	7.811342
130	9152.9074	7.829690
140	9123.7727	7.804767
150	9105.1475	7.788834
160	9091.2796	7.776971
170	9126.2022	7.806845
180	9100.3961	7.784770
